id,en,pl
1,"“This book opens the door to the world, which most of us don’t know.","– Ta książka otwiera drzwi do świata, którego większość z nas nie zna."
2,"It is an obligatory reading for all those, who want to understand the world of silence, the world of the Deaf,” this is how Adrianna Glegoła, a doctoral candidate at the UW’s Doctoral School of Humanities and a Polish Sign Language Philology student, described the book “Deaf” by Anna Goc in the episode of the “Read with the UW”.Anna Glegoła graduated from the Jagiellonian University in Kraków.","To lektura obowiązkowa dla tych, którzy chcą zrozumieć świat ciszy, świat, w którym żyją Głusi – tak o książce Anny Goc pt. „Głusza” mówi Adrianna Glegoła, doktorantka Szkoły Doktorskiej Nauk Humanistycznych UW oraz studentka na kierunku filologia polskiego języka migowego w kolejnym odcinku cyklu Czytaj z UW.Adrianna Glegoła jest absolwentką Wydziału Filologicznego oraz Katedry Przekładoznawstwa Uniwersytetu Jagiellońskiego, specjalizuje się w języku angielskim i rosyjskim."
3,She specialises in the English and Russian languages.,Ukończyła studia podyplomowe z tłumaczeń specjalistycznych (audiowizualnych) w Szkole Wyższej Psychologii Społecznej w Warszawie.
4,Glegoła completed postgraduate studies in audio-visual translations.,"Międzynarodowe doświadczenie zdobyła podczas zagranicznych pobytów na wymianie studenckiej – w Rosji, we Włoszech oraz w USA."
5,"She gained international experience during student exchange in Russia, Italy and the USA.",Jest dwukrotną laureatką międzynarodowego konkursu tłumaczeniowego (za przekład tekstu publicystycznego z języka angielskiego na rosyjski oraz przekład fragmentu książki Macieja Wojtyszki Bromba i filozofia z języka polskiego na rosyjski).
6,She is a two-time laureate of the international translation competition.,W 2023 roku Adrianna Glegoła podjęła studia doktoranckie w Szkole Doktorskiej Nauk Humanistycznych Uniwersytetu Warszawskiego.
7,"In 2023, Adrianna Glegoła started her doctoral studies at the Doctoral School of Humanities of the University of Warsaw.","Jednocześnie kontynuuje edukację na studiach magisterskich na kierunku filologia polskiego języka migowego na UW, jedynych takich studiach w Polsce."
8,"At the same time, she continues her education studying Polish Sign Language Philology at the UW – the only programme of this kind offered in Poland.","G jak Głusi– Głusza to opowieść o pominiętej przez system grupie społecznej, której z racji głuchoty i nieznajomości języka polskiego odebrano prawo głosu – mówi Adrianna Glegoła, doktorantka Szkoły Doktorskiej Nauk Humanistycznych UW oraz studentka na kierunku filologia polskiego języka migowego."
9,D like Deaf“Deaf  is a story of a community ignored by the system.,"Anna Goc, dziennikarka „Tygodnika Powszechnego” i laureatka Stypendium im. Ryszarda Kapuścińskiego, w swojej książce oddała głos właśnie osobom niesłyszącym."
10,"Because of deafness and unfamiliarity with the Polish language, its members were deprived of the right to decide about themselves,” says Anna Glegoła, a doctoral candidate from the Doctoral School of Humanities and Polish Sign Language Philology student.",Książka otwiera drzwi do świata Głuchych.
11,"In her book, Anna Goc, a journalist of “Tygodnik Powszechny” and laureate of the Ryszard Kapuściński Award, gave voice to the Deaf people.","To z niej dowiadujemy się, że Głusi są niepełnosprawni tylko między słyszącymi, a gdy są sami ze sobą, tj. Głusi z Głuchymi, mogą używać swojego języka i nie czują się inni."
12,The book opens the door to the world of the Deaf.,"Jak mawiają sami niesłyszący „głuchota nie jest chorobą ani niepełnosprawnością, dlatego proszą, aby ich społeczność nazywać przez duże G – Głusi”."
13,One can learn from it that the Deaf are disabled only among people who can hear.," Język Głuchych– Głusi nie muszą umieć pisać ani czytać w języku polskim, bo jest to dla nich język obcy."
14,"Between each other, the Deaf can use their own language and do not see themselves as others.","Ich naturalnym i pierwszym językiem jest PJM, czyli polski język migowy – podkreśla Adrianna Glegoła."
15,"Deaf people use to say that “deafness is not a disease or a disability, and ask to address their community with capital D – Deaf”.","„A więc w Polsce żyją głusi, którzy nie znają języka polskiego: nie tylko nie potrafią mówić, ale również nie czytają ze zrozumieniem po polsku, chociaż skończyli szkoły dla głuchych” – czytamy w książce."
16, Language of Deaf“The Deaf do not need to know how to write or read in Polish – it is a foreign language for them.,"– Z książki Anny Goc dowiadujemy się, że nie ma jednego uniwersalnego języka migowego, a także tego, że nie każdy niesłyszący może nauczyć się języka polskiego, a dla wielu jest to po prostu niewykonalne – wyjaśnia Adrianna Glegoła i podkreśla, jak ważną rolę spełniają tłumacze języka migowego."
17,"Their first natural language is PJM, Polish Sign Language,” Adrianna Glegoła emphasises.","Prawdziwe historie opisane w książce, jak ta, kiedy niesłyszące małżeństwo nie potrafi wezwać telefonicznie pogotowia do chorego syna, czy ta kiedy głucha kobieta w ciąży trafia do szpitala i jej małoletni syn (nikt inny nie zna języka migowego) musi przekazać jej informację, że noworodka nie udało się uratować, dotykają do głębi i porażają."
18,"“There are, in fact, Deaf people in Poland, who do not know Polish.",To reporterski opis konkretnych historii podbudowany solidną wiedzą na temat świata i języka Głuchych.
19,"They can’t speak or read in Polish, although they graduated from the schools for the Deaf,” one learns from the book.","– Głusza to niezwykle ważny i potrzebny reportaż, który pokazuje realia życia Głuchych."
20,"“From Anna Goc’s book, we find out that there is no universal sign language and not every Deaf person can learn Polish.","To książka o głuchych dzieciach słyszących rodziców, o CODA, tj. słyszących dzieciach głuchych rodziców, o edukacji niesłyszących, o różnicy między polskim językiem migowym i systemem językowo-migowym, a przede wszystkim o niezrozumieniu i wykluczeniu – podkreśla Adrianna Glegoła i dodaje: – Nie jest to łatwa lektura, ale zdecydowanie warto po nią sięgnąć."
21,"For many, it is simply impossible,” Adrianna Glegoła explains and underlines the important role of sign language interpreters.",Książka Anny Goc Głusza znajduje się w Bibliotece Uniwersyteckiej w Warszawie w wolnym dostępie w dziale nauki społeczne oraz w bibliotece na Wydziale Polonistyki.
22,"True stories described in the book, like a Deaf married couple who cannot call an ambulance to a sick child or a Deaf pregnant woman whose little son (nobody else knows sign language) needs to tell her that a newborn baby could not be saved, are truly moving and devastating.",Polski język migowy (PJM) jest językiem wizualno-przestrzennym używanym w codziennej komunikacji przez społeczność Głuchych w Polsce.
23,It is a reporter’s account of specific stories backed up by a substantial knowledge of the Deaf world and language.,"Nie jest on reprezentacją wizualną polskiego języka fonicznego, ponieważ zdecydowanie różni się od niego pod względem leksykalnym i gramatycznym."
24,"“Deaf  is a very important and needed book, which features the reality of the Deaf community.","Powstał około 200 lat temu, kiedy w Warszawie została założona pierwsza szkoła dla osób niesłyszących."
